"Statistic Label","Week","Mode of Transport","UNIT","VALUE"
"Passenger Journeys","2020 Week 07","Bus, excluding Dublin Metro","Number","729974"
"Passenger Journeys","2020 Week 07","Rail","Number","908680"
"Passenger Journeys","2020 Week 07","All public transport, excluding LUAS","Number","4736640"
"Passenger Journeys","2020 Week 08","Dublin Metro Bus","Number","3046425"
"Passenger Journeys","2020 Week 08","Bus, excluding Dublin Metro","Number","728267"
"Passenger Journeys","2020 Week 08","Rail","Number","954421"
"Passenger Journeys","2020 Week 08","All public transport, excluding LUAS","Number","4729113"
"Passenger Journeys","2020 Week 09","Dublin Metro Bus","Number","3145979"
"Passenger Journeys","2020 Week 09","Bus, excluding Dublin Metro","Number","738222"
"Passenger Journeys","2020 Week 09","Rail","Number","946324"
"Passenger Journeys","2020 Week 09","All public transport, excluding LUAS","Number","4830525"
"Passenger Journeys","2020 Week 10","Dublin Metro Bus","Number","3103704"
"Passenger Journeys","2020 Week 10","Bus, excluding Dublin Metro","Number","755581"
"Passenger Journeys","2020 Week 10","Rail","Number","851347"
"Passenger Journeys","2020 Week 10","All public transport, excluding LUAS","Number","4710632"
"Passenger Journeys","2020 Week 11","Dublin Metro Bus","Number","2451496"
"Passenger Journeys","2020 Week 11","Bus, excluding Dublin Metro","Number","585892"
"Passenger Journeys","2020 Week 11","Rail","Number","907046"
"Passenger Journeys","2020 Week 11","All public transport, excluding LUAS","Number","3944434"
"Passenger Journeys","2020 Week 12","Dublin Metro Bus","Number","828756"
"Passenger Journeys","2020 Week 12","Bus, excluding Dublin Metro","Number","189509"
"Passenger Journeys","2020 Week 12","Rail","Number","627170"
"Passenger Journeys","2020 Week 12","All public transport, excluding LUAS","Number","1645435"
"Passenger Journeys","2020 Week 13","Dublin Metro Bus","Number","593463"
"Passenger Journeys","2020 Week 13","Bus, excluding Dublin Metro","Number","143429"
"Passenger Journeys","2020 Week 13","Rail","Number","77149"
"Passenger Journeys","2020 Week 13","All public transport, excluding LUAS","Number","814041"
"Passenger Journeys","2020 Week 14","Dublin Metro Bus","Number","365560"
"Passenger Journeys","2020 Week 14","Bus, excluding Dublin Metro","Number","85598"
"Passenger Journeys","2020 Week 14","Rail","Number","26302"
"Passenger Journeys","2020 Week 14","All public transport, excluding LUAS","Number","477460"
"Passenger Journeys","2020 Week 15","Dublin Metro Bus","Number","374262"
"Passenger Journeys","2020 Week 15","Bus, excluding Dublin Metro","Number","91529"
"Passenger Journeys","2020 Week 15","Rail","Number","23231"
"Passenger Journeys","2020 Week 15","All public transport, excluding LUAS","Number","489022"
"Passenger Journeys","2020 Week 16","Dublin Metro Bus","Number","361266"
"Passenger Journeys","2020 Week 16","Bus, excluding Dublin Metro","Number","85871"
"Passenger Journeys","2020 Week 16","Rail","Number","28071"
"Passenger Journeys","2020 Week 16","All public transport, excluding LUAS","Number","475208"
"Passenger Journeys","2020 Week 17","Dublin Metro Bus","Number","408826"
"Passenger Journeys","2020 Week 17","Bus, excluding Dublin Metro","Number","100755"
"Passenger Journeys","2020 Week 17","Rail","Number","32787"
