Week,Mode of Transport,Year,VALUE
20,0,2021,2347824.0
21,2,2021,1547915.0
21,1,2021,418168.0
21,3,2021,393257.0
21,0,2021,2359340.0
22,2,2021,1527611.0
22,1,2021,411324.0
22,3,2021,377568.0
22,0,2021,2316503.0
23,2,2021,1623456.0
23,1,2021,446540.0
23,3,2021,371228.0
23,0,2021,2441224.0
24,2,2021,1603926.0
24,1,2021,450941.0
24,3,2021,368609.0
24,0,2021,2423476.0
25,2,2021,1586039.0
25,1,2021,447514.0
25,3,2021,399131.0
25,0,2021,2432684.0
26,2,2021,1558866.0
26,1,2021,441652.0
26,3,2021,359807.0
26,0,2021,2360325.0
27,2,2021,1623323.0
27,1,2021,466323.0
27,3,2021,455660.0
27,0,2021,2545306.0
28,2,2021,1629341.0
28,1,2021,465320.0
28,3,2021,466402.0
28,0,2021,2561063.0
29,2,2021,1595175.0
29,1,2021,449602.0
29,3,2021,387647.0
29,0,2021,2432424.0
30,2,2021,1509235.0
30,1,2021,410910.0
30,3,2021,386299.0
30,0,2021,2306444.0
31,2,2021,1636634.0
31,1,2021,457401.0
31,3,2021,402833.0
31,0,2021,2496868.0
32,2,2021,1655260.0
32,1,2021,459631.0
32,3,2021,396685.0
32,0,2021,2511576.0
33,2,2021,1766188.0
33,1,2021,505692.0
33,3,2021,475258.0
33,0,2021,2747138.0
34,2,2021,1849382.0
34,1,2021,507106.0
34,3,2021,445064.0
34,0,2021,2801552.0
35,2,2021,1919743.0
35,1,2021,527134.0
35,3,2021,454290.0
35,0,2021,2901167.0
36,2,2021,1996559.0
36,1,2021,544763.0
36,3,2021,430036.0
36,0,2021,2971358.0
37,2,2021,2133682.0
37,1,2021,578850.0
37,3,2021,481469.0
37,0,2021,3194001.0
38,2,2021,2200701.0
38,1,2021,604775.0
38,3,2021,516121.0
38,0,2021,3321597.0
39,2,2021,2247599.0
39,1,2021,601080.0
39,3,2021,523639.0
39,0,2021,3372318.0
40,2,2021,2247417.0
40,1,2021,613892.0
40,3,2021,524870.0
40,0,2021,3386179.0
41,2,2021,2260213.0
41,1,2021,609960.0
41,3,2021,462006.0
41,0,2021,3332179.0
42,2,2021,1815542.0
42,1,2021,501525.0
42,3,2021,440154.0
42,0,2021,2757221.0
43,2,2021,2239515.0
43,1,2021,588321.0
43,3,2021,569327.0
43,0,2021,3397163.0
44,2,2021,2258734.0
44,1,2021,592538.0
44,3,2021,570080.0
44,0,2021,3421352.0
45,2,2021,2218390.0
45,1,2021,598813.0
45,3,2021,509671.0
45,0,2021,3326874.0
46,2,2021,2159300.0
46,1,2021,573025.0
46,3,2021,465963.0
46,0,2021,3198288.0
47,2,2021,2126792.0
47,1,2021,545762.0
47,3,2021,465590.0
47,0,2021,3138144.0
48,2,2021,1910575.0
48,1,2021,478897.0
48,3,2021,417041.0
48,0,2021,2806513.0
49,2,2021,2173422.0
49,1,2021,586228.0
49,3,2021,477149.0
49,0,2021,3236799.0
50,2,2021,1496396.0
50,1,2021,396284.0
50,3,2021,278965.0
50,0,2021,2171645.0
51,2,2021,1099282.0
51,1,2021,289588.0
51,3,2021,243709.0
51,0,2021,1632579.0
52,2,2021,1587311.8
